SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
24,HSPB1,MAPT,Q3T149,P10636,No 3D Structure,"1I8H, 2MZ7, 2ON9, 3OVL, 4E0M, 4E0N, 4E0O, 4FL5, 4GLR, 4NP8, 4TQE, 4Y32, 4Y3B, 4Y5I, 5BTV, 5DMG, 5E2V, 5E2W, 5HF3, 5K7N, 5MO3, 5MP1, 5MP3, 5MP5, 5N5A, 5N5B, 5NVB, 5O3L, 5O3O, 5O3T, 5V5B, 5V5C, 5ZIA, 5ZV3, 6BB4, 6CVJ, 6CVN, 6DC8, 6DC9, 6DCA, 6FAU, 6FAV, 6FAW, 6FBW, 6FBY, 6FI4, 6FI5, 6GK7, 6GK8, 6GX5, 6H06, 6HRE, 6HRF, 6LRA, 6N4P, 6NK4, 6NWP, 6NWQ, 6ODG, 6PXR, 6QJH, 6QJM, 6QJP, 6QJQ, 6TJO, 6TJX, 6VH7, 6VHA, 6VHL, 6VI3, 6XLI, 7EYC, 7KQK, 7MKF, 7MKG, 7MKH, 7NRQ, 7NRS, 7NRT, 7NRV, 7NRX, 7P65, 7P66, 7P67, 7P68, 7P6A, 7P6B, 7P6C, 7P6D, 7P6E, 7PQC, 7PQP, 7QJV, 7QJW, 7QJX, 7QJY, 7QJZ, 7QK1, 7QK2, 7QK3, 7QK5, 7QK6, 7QKF, 7QKG, 7QKH, 7QKI, 7QKJ, 7QKK, 7QKL, 7QKM, 7QKU, 7QKV, 7QKW, 7QKX, 7QKY, 7QKZ, 7QL0, 7QL1, 7QL2, 7QL3, 7QL4, 7R4T, 7R5H, 7SP1, 7U0Z, 7UPE, 7UPF, 7UPG, 7YMN, 7YPG, 8AZU, 8BGS, 8BGV, 8BYN, 8CAQ, 8CAX, 8FNZ, 8FUG, 8FYU, 8G54, 8G55, 8G58, 8GCK, 8KDX, 8OH2, 8OHI, 8OHP, 8OI0, 8OP0, 8OPI, 8ORE, 8ORF, 8ORG, 8OT6, 8OT9, 8OTC, 8OTG, 8OTH, 8OTI, 8OTJ, 8P34, 8PII, 8PPO, 8Q27, 8Q2J, 8Q2K, 8Q2L, 8Q7F, 8Q7L, 8Q7M, 8Q7P, 8Q7T, 8Q88, 8Q8C, 8Q8D, 8Q8E, 8Q8F, 8Q8L, 8Q8M, 8Q8R, 8Q8S, 8Q8U, 8Q8V, 8Q8W, 8Q8X, 8Q8Y, 8Q8Z, 8Q92, 8Q97, 8Q98, 8Q99, 8Q9A, 8Q9B, 8Q9C, 8Q9D, 8Q9E, 8Q9F, 8Q9G, 8Q9H, 8Q9I, 8Q9J, 8Q9K, 8Q9L, 8Q9M, 8Q9O, 8QCP, 8QCR, 8QDV, 8QJJ, 8R3T, 8SEH, 8SEI, 8TTL, 8TTN, 8UQ7, 8V1N, 8WCP, 8ZWL, 8ZWM, 8ZX6, 9BBL, 9BBM, 9BXI, 9BXO, 9BXQ, 9BXR, 9CGX, 9CGZ, 9CZI, 9CZL, 9EO7, 9EO9, 9EOE, 9EOG, 9EOH, 9ERM, 9ERN, 9ERO, 9G13, 9GG0, 9GG1, 9GG6, 9H5G, 9H5J, 9HBB"
25,PABPC1,DHX9,P11940,Q5R874,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO",No 3D Structure
26,MATR3,HNRNPA3,P43243,P51991,No 3D Structure,No 3D Structure
27,UBC,VDAC1,P0CG48,Q9MZ16,"1C3T, 1CMX, 1D3Z, 1F9J, 1FXT, 1G6J, 1GJZ, 1NBF, 1OGW, 1Q5W, 1S1Q, 1SIF, 1TBE, 1UBI, 1UBQ, 1UD7, 1XD3, 1XQQ, 1YX5, 1YX6, 1ZGU, 2AYO, 2BGF, 2DEN, 2FUH, 2G45, 2GBJ, 2GBK, 2GBM, 2GBN, 2GBR, 2GMI, 2HTH, 2IBI, 2J7Q, 2JF5, 2JRI, 2JY6, 2JZZ, 2K25, 2K6D, 2K8B, 2K8C, 2KDF, 2KJH, 2KLG, 2KN5, 2KX0, 2L3Z, 2LD9, 2LVO, 2LVP, 2LVQ, 2LZ6, 2MBO, 2MBQ, 2MCN, 2MI8, 2MJ5, 2MOR, 2MRE, 2MWS, 2N2K, 2NR2, 2O6V, 2OJR, 2PE9, 2PEA, 2RR9, 2RU6, 2W9N, 2WDT, 2XEW, 2Z59, 2ZCB, 2ZVN, 2ZVO, 3A33, 3ALB, 3AUL, 3B08, 3B0A, 3BY4, 3C0R, 3DVG, 3DVN, 3EEC, 3EFU, 3EHV, 3H7P, 3H7S, 3HM3, 3IFW, 3IHP, 3JSV, 3JVZ, 3JW0, 3K9O, 3K9P, 3KVF, 3KW5, 3LDZ, 3MHS, 3MTN, 3N30, 3N32, 3N3K, 3NS8, 3O65, 3OFI, 3OJ4, 3ONS, 3PT2, 3PTF, 3Q3F, 3RUL, 3TMP, 3U30, 3UGB, 3V6C, 3V6E, 3VFK, 3VUW, 3VUX, 3VUY, 3WXE, 3WXF, 3ZNI, 3ZNZ, 4AP4, 4AUQ, 4BOS, 4BOZ, 4BVU, 4DDG, 4DDI, 4DHJ, 4DHZ, 4FJV, 4HK2, 4HXD, 4I6L, 4I6N, 4IG7, 4IUM, 4JQW, 4K1R, 4K7S, 4K7U, 4K7W, 4KSK, 4KSL, 4LCD, 4LDT, 4MDK, 4MM3, 4MSM, 4MSQ, 4NQK, 4UN2, 4V3K, 4V3L, 4XOK, 4XOL, 4ZQS, 5AF4, 5AF5, 5AF6, 5AIU, 5B83, 5C7J, 5C7M, 5E6J, 5H07, 5NL4, 5NLF, 5NLI, 5NMC, 5OE7, 5OHV, 5OXH, 5OXI, 5UDH, 5WQ4, 5ZQ3, 5ZQ4, 5ZQ5, 5ZQ6, 5ZQ7, 6A43, 6A44, 6AQR, 6B7M, 6B7O, 6EQI, 6K2U, 6KBE, 6N13, 6N6R, 6NQA, 6NXK, 6OI4, 6P5B, 6Q00, 6QML, 6RYA, 6S53, 6SQR, 6T7F, 6T9L, 6TNF, 6TTU, 6TUV, 6TXB, 6ULH, 6UMP, 6UMS, 6UPU, 6V5D, 6VAE, 6VAF, 6VEN, 6W9D, 6W9R, 6W9S, 6WJD, 6WKR, 6WTG, 6YPT, 6Z7V, 7B5L, 7B5M, 7B5N, 7BBD, 7BBF, 7BXG, 7EAL, 7EAO, 7EB9, 7JXV, 7K6P, 7K6Q, 7KEO, 7M4M, 7M4N, 7M4O, 7MEX, 7MIC, 7MYF, 7NPI, 7OWD, 7R70, 7R71, 7TV4, 7UV5, 7UYH, 7YUI, 7ZJ3, 8A9J, 8A9K, 8ADB, 8AMS, 8B3G, 8B3I, 8E7O, 8EAZ, 8EB0, 8FTQ, 8JRT, 8JTI, 8K6I, 8OFF, 8PJN, 8PMQ, 8PQL, 8Q7R, 8R5H, 8RX0, 8SSI, 8ST7, 8ST8, 8ST9, 8SVF, 8T48, 8U5H, 9D1I, 9D1Y, 9D1Z, 9D8P, 9DBY, 9DDE, 9DG3, 9EGV, 9EGW, 9FCI, 9FCJ, 9FJ3, 9FJ4",No 3D Structure
28,RAF1,VDAC1,A7E3S4,Q9MZ16,No 3D Structure,No 3D Structure
29,TP53,VCP,Q12888,P42660,"1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U",No 3D Structure
30,HNRNPH1,NONO,P31943,Q5FVM4,"2LXU, 6DHS, 7ZUG",No 3D Structure
31,SFPQ,RBMX,Q8VIJ6,Q9WV02,No 3D Structure,No 3D Structure
32,FH,ENO1,P07954,Q9C9C4,"3E04, 5D6B, 5UPP, 6EBT, 6V8F, 6VBE, 7LUB",No 3D Structure
33,FUS,CAPRIN1,P56959,Q14444,No 3D Structure,"4WBE, 4WBP, 6TA7, 7XHG, 8TH7"
34,ACO2,RPL11,Q94A28,Q9CXW4,No 3D Structure,"6SWA, 7CPU, 7CPV, 7LS1, 7LS2"
35,HDAC6,HSPA5,Q9UBN7,Q80WF4,"3C5K, 3GV4, 3PHD, 5B8D, 5EDU, 5KH3, 5KH7, 5KH9, 5WBN, 5WPB, 6CE6, 6CE8, 6CEA, 6CEC, 6CED, 6CEE, 6CEF, 7ZYU, 8G43, 8G44, 8G45",No 3D Structure
36,HNRNPH2,RBMX,P55795,Q9WV02,"1WEZ, 1WG5, 6DG1, 8SGH",No 3D Structure
37,CTSD,SNCA,Q4WNV0,Q3T0G8,No 3D Structure,No 3D Structure
38,CALCOCO2,ATG9A,Q13137,Q3T904,"2MXP, 3VVV, 3VVW, 4GXL, 4HAN, 4XKL, 5AAQ, 5Z7A, 5Z7L, 7EAA",No 3D Structure
39,ENO1,HSPA9,Q9C9C4,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
40,FUS,RALY,P56959,Q64012,No 3D Structure,No 3D Structure
41,SMN1,SRSF3,P97801,P84103,No 3D Structure,"2I2Y, 2I38, 9ASQ"
42,YWHAQ,TFEB,P68254,Q9R210,No 3D Structure,No 3D Structure
43,DLAT,NDUFS2,Q8BMF4,O75306,No 3D Structure,"5XTB, 5XTC, 5XTD, 5XTH, 5XTI"
44,IDH3A,UQCRC2,Q9D6R2,P22695,No 3D Structure,"5XTE, 5XTH, 5XTI"
45,OPTN,ATG9A,Q8K3K8,Q3T904,5WQ4,No 3D Structure
46,PCBP1,SYNCRIP,P60335,O60506,No 3D Structure,"2DGU, 2MXT, 2NBB, 6KOR"
47,IFNA4,IFNA7,P05014,P01567,No 3D Structure,No 3D Structure
48,MATR3,HNRNPR,P43243,O43390,No 3D Structure,2DK2
49,IKBKG,RAB8A,Q9Y6K9,Q5R4A3,"2JVX, 2JVY, 3BRT, 3BRV, 3CL3, 3FX0, 4BWN, 5AAY, 5LDE, 6MI3, 6MI4, 6XX0, 6YEK, 7T2U, 7TV4, 9AZJ",No 3D Structure
50,CPSF6,SNRNP70,Q6NVF9,P08621,No 3D Structure,"2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08"
51,HNRNPC,ZNF326,P07910,Q5BKZ1,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4",No 3D Structure
52,OPTN,TRADD,Q8K3K8,Q3U0V2,5WQ4,No 3D Structure
53,RBM14,HNRNPH3,Q8C2Q3,P31942,No 3D Structure,No 3D Structure
54,MATR3,RALY,P43243,Q64012,No 3D Structure,No 3D Structure
55,PINK1,RB1CC1,B5DFG1,Q8TDY2,No 3D Structure,"6DCE, 6GMA, 7CZG, 7CZM, 7D0E, 7EA2, 7EAA, 8SOI, 8SQZ, 8SRM, 8W6B, 8YFK, 8YFL, 8YFM, 8YFN, 9C82, 9D34"
56,SNCA,HSPA9,Q3T0G8,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
57,TAF15,SNRPD3,Q9AST1,P62318,No 3D Structure,"1D3B, 3CW1, 3JCR, 3PGW, 3VRI, 4PJO, 4WZJ, 5MQF, 5O9Z, 5XJC, 5YZG, 5Z56, 5Z57, 5Z58, 6AH0, 6AHD, 6FF7, 6ICZ, 6ID0, 6ID1, 6QDV, 6QW6, 6QX9, 6V4X, 6Y53, 6Y5Q, 7A5P, 7ABG, 7ABI, 7B0Y, 7DVQ, 7EVO, 7QTT, 7VPX, 7W59, 7W5A, 7W5B, 8C6J, 8CH6, 8H6E, 8H6J, 8H6K, 8H6L, 8HK1, 8I0P, 8I0R, 8I0S, 8I0T, 8I0U, 8I0V, 8I0W, 8Q7Q, 8Q7V, 8Q7W, 8Q7X, 8Q91, 8QO9, 8QXD, 8QZS, 8R08, 8R09, 8R0A, 8R0B, 8R7N, 8RC0, 8RM5, 8RO2, 8Y6O, 8Y7E, 9FMD, 9GBW, 9GC0, 9GCL"
58,SFPQ,SYNCRIP,Q8VIJ6,O60506,No 3D Structure,"2DGU, 2MXT, 2NBB, 6KOR"
59,YAP1,TP53,A0A8C0NGY6,Q12888,No 3D Structure,"1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
60,RBM14,SYNCRIP,Q8C2Q3,O60506,No 3D Structure,"2DGU, 2MXT, 2NBB, 6KOR"
61,RBM14,HNRNPU,Q8C2Q3,Q8VEK3,No 3D Structure,No 3D Structure
62,IRAK1,STAT1,P51617,Q764M5,6BFN,No 3D Structure
63,TOMM40,HSP90AA1,O96008,A5A6K9,"7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA",No 3D Structure
64,ABL1,HSPA4,P00520,O88600,"1ABO, 1ABQ, 1FPU, 1IEP, 1M52, 1OPJ, 1OPK, 2HZN, 2QOH, 2Z60, 3DK3, 3DK6, 3DK7, 3IK3, 3K5V, 3KF4, 3KFA, 3MS9, 3MSS, 3OXZ, 3OY3, 5IH2, 6HD4, 6HD6",No 3D Structure
65,BIRC2,OPTN,Q62210,Q8K3K8,No 3D Structure,5WQ4
66,ENO1,ACO2,Q9C9C4,Q94A28,No 3D Structure,No 3D Structure
67,HSCB,NUBPL,Q8IWL3,Q9V9M8,3BVO,No 3D Structure
68,ILF3,HNRNPA3,Q9Z1X4,P51991,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7",No 3D Structure
69,PCBP1,U2AF2,P60335,P26368,No 3D Structure,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
70,MAP1LC3B,SNCA,Q9GZQ8,Q3T0G8,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6",No 3D Structure
71,PINK1,HSPA9,B5DFG1,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
72,NFKBIA,SOCS3,Q9Z1E3,O14543,No 3D Structure,No 3D Structure
73,VCP,YWHAE,P42660,P62258,No 3D Structure,"2BR9, 3UAL, 3UBW, 6EIH, 7C8E, 7V9B, 8DGM, 8DGN, 8DGP, 8DP5, 8Q1S"
74,NFKBIA,BIRC2,Q9Z1E3,Q62210,No 3D Structure,No 3D Structure
75,DNM1L,PARK7,Q7SXN5,Q5XJ36,No 3D Structure,No 3D Structure
76,HNRNPU,ALYREF,Q8VEK3,Q86V81,No 3D Structure,"3ULH, 7ZNJ, 7ZNK"
77,HNRNPU,RALY,Q8VEK3,Q64012,No 3D Structure,No 3D Structure
78,EIF4G1,ATXN2,Q04637,O70305,"1LJ2, 1UG3, 2W97, 4AZA, 4F02, 5EHC, 5EI3, 5EIR, 5T46, 5ZK5, 6ZMW, 8HUJ, 8J7R, 8OZ0",No 3D Structure
79,MUL1,DNM1L,Q9VZJ9,Q7SXN5,No 3D Structure,No 3D Structure
80,EWSR1,SRSF3,Q61545,P84103,No 3D Structure,"2I2Y, 2I38, 9ASQ"
81,HTRA2,OPA1,Q9VFJ3,O60313,No 3D Structure,"6JTG, 8CT1, 8CT9, 8EEW, 8EF7, 8EFF, 8EFR, 8EFS, 8EFT"
82,CPSF6,HNRNPL,Q6NVF9,Q8R081,No 3D Structure,"3S01, 3TYT"
83,ELAVL1,EWSR1,Q15717,Q61545,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",No 3D Structure
84,DDX5,TARDBP,Q5R4I9,Q13148,No 3D Structure,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR"
85,PMPCB,HSPA9,O75439,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
86,PTBP1,CPSF6,P26599,Q6NVF9,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF",No 3D Structure
87,CELF1,PCBP1,Q4QQT3,P60335,No 3D Structure,No 3D Structure
88,AGRN,APOE,O00468,P0DKW7,8S9P,No 3D Structure
89,LRRK2,MAP1B,Q5S007,P46821,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO",No 3D Structure
90,FAF1,VAPB,P54731,O95292,No 3D Structure,"2MDK, 3IKK"
91,ATXN1,HSPA4,P54253,O88600,"1OA8, 2M41, 4APT, 4AQP, 4J2J, 4J2L, 6QIU",No 3D Structure
92,HSPD1,PMPCB,P10809,O75439,"4PJ1, 6HT7, 6MRC, 6MRD, 7AZP, 7L7S, 8G7J, 8G7K, 8G7L, 8G7M, 8G7N, 8G7O, 8U39",No 3D Structure
93,VAPB,WDR44,O95292,Q5JSH3,"2MDK, 3IKK",No 3D Structure
94,VAPA,WDR44,Q9P0L0,Q5JSH3,"2RR3, 6TQR",No 3D Structure
95,CPSF6,HNRNPC,Q6NVF9,P07910,No 3D Structure,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4"
96,HSP90AB1,YWHAQ,P08238,P68254,"1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO",No 3D Structure
97,MAP1LC3B,VCP,Q9GZQ8,P42660,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6",No 3D Structure
98,CPSF6,SRSF9,Q6NVF9,Q13242,No 3D Structure,No 3D Structure
99,EWSR1,KHDRBS1,Q61545,Q07666,No 3D Structure,"2XA6, 3QHE, 7Z89, 7Z8A, 7Z9A, 7Z9B, 7ZAB, 7ZAC, 7ZAF, 7ZAM"
100,HNRNPL,RALY,Q8R081,Q64012,"3S01, 3TYT",No 3D Structure
101,CELF1,HNRNPL,Q4QQT3,Q8R081,No 3D Structure,"3S01, 3TYT"
102,SFN,YWHAE,O70456,P62258,No 3D Structure,"2BR9, 3UAL, 3UBW, 6EIH, 7C8E, 7V9B, 8DGM, 8DGN, 8DGP, 8DP5, 8Q1S"
103,PARK7,SQSTM1,Q5XJ36,Q64337,No 3D Structure,"2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ"
104,RBM14,ILF3,Q8C2Q3,Q9Z1X4,No 3D Structure,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
105,SAFB,TAF15,D3YXK2,Q9AST1,No 3D Structure,No 3D Structure
106,DDX5,KHDRBS1,Q5R4I9,Q07666,No 3D Structure,"2XA6, 3QHE, 7Z89, 7Z8A, 7Z9A, 7Z9B, 7ZAB, 7ZAC, 7ZAF, 7ZAM"
107,DDX5,ILF3,Q5R4I9,Q9Z1X4,No 3D Structure,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
108,TUBA4A,DYNC1LI1,P68366,Q9Y6G9,No 3D Structure,"6B9H, 6PSD, 6PSE"
109,HNRNPU,NONO,Q8VEK3,Q5FVM4,No 3D Structure,No 3D Structure
110,NONO,PTBP1,Q5FVM4,P26599,No 3D Structure,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF"
