SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
739,CDC25B,YWHAZ,P30305,P63104,"1CWR, 1CWS, 1CWT, 1QB0, 1YM9, 1YMD, 1YMK, 1YML, 1YS0, 2A2K, 2IFD, 2IFV, 2UZQ, 3FQT, 3FQU, 4WH7, 4WH9","1IB1, 1QJA, 1QJB, 2C1J, 2C1N, 2O02, 2WH0, 3CU8, 3NKX, 3RDH, 4BG6, 4FJ3, 4HKC, 4IHL, 4N7G, 4N7Y, 4N84, 4WRQ, 4ZDR, 5D2D, 5D3F, 5EWZ, 5EXA, 5J31, 5JM4, 5M35, 5M36, 5M37, 5NAS, 5ULO, 5WXN, 5XY9, 6EF5, 6EJL, 6EWW, 6F08, 6F09, 6FN9, 6FNA, 6FNB, 6FNC, 6Q0K, 6RLZ, 6U2H, 6XAG, 6YMO, 6YO8, 6YOS, 6ZFD, 6ZFG, 7D8H, 7D8P, 7D9V, 7MFD, 7MFE, 7MFF, 7Q16, 7ZIT, 8A9G, 8AH2, 8P1H, 8QDV, 8WE2, 8WF6, 9FUM, 9FVL"
740,CYLD,RNF31,Q9NQC7,Q96EP0,"1IXD, 1WHL, 1WHM, 2VHF, 7OWC, 7OWD","2CT7, 4DBG, 4JUY, 4LJO, 4LJP, 4LJQ, 4OWF, 4OYJ, 4OYK, 4P09, 4P0A, 4P0B, 5EDV, 5LJN, 5X0W, 6GZY, 6KC5, 6KC6, 6SC5, 6SC6, 6SC7, 6SC8, 6SC9, 7TV4, 7UY2, 7UYJ, 7UYK, 7V8F, 7V8G, 8Z30, 8Z36, 9AZJ, 9B0B, 9B0Z, 9B12"
741,RPS9,MRPL17,P46781,Q9NRX2,"4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBW, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOK, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7MQ8, 7MQ9, 7MQA, 7QP6, 7QP7, 7R4X, 7TQL, 7WTS, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O","2CQM, 3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
742,RPL23,MRPS5,P62829,P82675,"4UG0, 4V6X, 5AJ0, 5LKS, 5T2C, 6IP5, 6IP6, 6IP8, 6LQM, 6LSR, 6LSS, 6LU8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6Y6X, 6Z6L, 6Z6M, 6Z6N, 6ZM7, 6ZME, 6ZMI, 6ZMO, 7F5S, 7OW7, 7XNX, 7XNY, 8A3D, 8FKP, 8FKQ, 8FKR, 8FKS, 8FKT, 8FKU, 8FKV, 8FKW, 8FKX, 8FKY, 8FKZ, 8FL0, 8FL2, 8FL3, 8FL4, 8FL6, 8FL7, 8FL9, 8FLA, 8FLB, 8FLC, 8FLD, 8FLE, 8FLF, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IDT, 8IDY, 8IE3, 8IFD, 8IFE, 8INE, 8INF, 8INK, 8IPD, 8IPX, 8IPY, 8IR1, 8IR3, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OHD, 8OJ0, 8OJ5, 8OJ8, 8QFD, 8QOI, 8QYX, 8RL2, 8UKB, 8XSX, 8XSY, 8XSZ, 8Y0W, 8Y0X, 8YOO, 8YOP, 9C3H, 9G8M, 9GMO","3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2"
743,MRPL27,RPS9,Q9P0M9,P46781,"3IY9, 3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBW, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOK, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7MQ8, 7MQ9, 7MQA, 7QP6, 7QP7, 7R4X, 7TQL, 7WTS, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
744,CS,IDH2,A0A2P1GIW2,P28241,6RT8,"3BLV, 3BLW, 3BLX"
745,MRPL22,RPS18,Q9NWU5,P62269,"3J7Y, 5OOL, 5OOM, 6NU2, 6NU3, 6ZM5, 6ZM6, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBS, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOL, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7QP6, 7QP7, 7R4X, 7TQL, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
746,RPL23,MRPS14,P62829,O60783,"4UG0, 4V6X, 5AJ0, 5LKS, 5T2C, 6IP5, 6IP6, 6IP8, 6LQM, 6LSR, 6LSS, 6LU8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6Y6X, 6Z6L, 6Z6M, 6Z6N, 6ZM7, 6ZME, 6ZMI, 6ZMO, 7F5S, 7OW7, 7XNX, 7XNY, 8A3D, 8FKP, 8FKQ, 8FKR, 8FKS, 8FKT, 8FKU, 8FKV, 8FKW, 8FKX, 8FKY, 8FKZ, 8FL0, 8FL2, 8FL3, 8FL4, 8FL6, 8FL7, 8FL9, 8FLA, 8FLB, 8FLC, 8FLD, 8FLE, 8FLF, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IDT, 8IDY, 8IE3, 8IFD, 8IFE, 8INE, 8INF, 8INK, 8IPD, 8IPX, 8IPY, 8IR1, 8IR3, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OHD, 8OJ0, 8OJ5, 8OJ8, 8QFD, 8QOI, 8QYX, 8RL2, 8UKB, 8XSX, 8XSY, 8XSZ, 8Y0W, 8Y0X, 8YOO, 8YOP, 9C3H, 9G8M, 9GMO","3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2"
747,NDUFS2,UQCRC2,O75306,P22695,"5XTB, 5XTC, 5XTD, 5XTH, 5XTI","5XTE, 5XTH, 5XTI"
748,HNRNPA2B1,ILF3,P22626,Q9Z1X4,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI","4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
749,SRSF1,SRSF3,Q6PDM2,P84103,1X4C,"2I2Y, 2I38, 9ASQ"
750,HNRNPH1,HNRNPF,P31943,P52597,"2LXU, 6DHS, 7ZUG","2HGL, 2HGM, 2HGN, 2KFY, 2KG0, 2KG1, 3TFY"
751,CD2,CD5,P06729,P06127,"1CDB, 1GYA, 1HNF, 1L2Z, 1QA9, 2J6O, 2J7I","2JA4, 2JOP, 2JP0, 2OTT"
752,MRPL30,MRPL41,Q8TCC3,Q8IXM3,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
